,Fish_ID,Beas_population_code,Population_old_code,Harvested,Head.time.moving,Head.total.time,Head.raw.speed,Head.speed.moving,Head.time.stationary,Trial,Treatment,Normalized_Time.moving,FSR,FastestFSR,Status,FastestStatus,Aquarium,Acclimation,Sex,Weight_start,Weight_end,Length_start,Length_end,SGR,Weight_resp,SGR_length,MMR_mghg,SMR_mghg,MMR_scaled,SMR_scaled,AS,Harvest2,Length2,FastestFSR2
107,4fg,5,2,Random,127.6,865.6,3.257844766,7.220022307,738,1,Recovery,0.1474122,6,29,1,1,4,Normoxia acclimated,F,0.23,0.8,22,30.5,2.15,0.72,0.56,NA,NA,NA,NA,NA,Random,22,6
108,2mb,1,1,Small,126.2,865.6,3.050157062,6.898341697,739.4,1,Hypoxia,0.145794824,6,4,1,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,0.175,0.15,0.044,0.031,0.013,Positive,16,4
109,2mp,9,3,Small,125.6,865.6,3.708668073,7.118600284,740,1,Normoxia,0.145101664,45,20,1,1,2,Normoxia acclimated,M,0.12,0.13,17,18,0.14,0.13,0.1,0.969,0.291,0.255,0.068,0.187,Positive,17,20
110,9mb,3,1,Large,125,865.6,3.584004059,7.306532485,740.6,2,Recovery,0.144408503,6,39,1,1,9,Normoxia acclimated,M,0.11,0.12,17,18,0.15,0.12,0.1,NA,NA,NA,NA,NA,Negative,17,6
111,6mb,1,1,Small,124.4,865.6,3.675150115,7.225412254,741.2,1,Normoxia,0.143715342,NA,NA,NA,NA,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,1.382,0.698,0.34,0.141,0.199,Positive,14,NA
112,11ml,5,2,Random,123.8333333,865.6,3.39569561,7.292546642,741.7666667,2,Recovery,0.14306069,34,34,1,1,11,Normoxia acclimated,M,0.12,0.14,17,18,0.27,0.14,0.1,NA,NA,NA,NA,NA,Random,17,5
113,3mb,2,1,Random,122.6666667,865.6,9.644502556,17.42572813,742.9333333,1,Hypoxia,0.141712877,NA,NA,NA,NA,3,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Random,NA,NA
114,8mg,4,2,Large,121.9333333,865.6,3.303602844,7.490440813,743.6666667,1,Recovery,0.140865681,NA,101,0,1,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,NA,NA,NA,NA,NA,Negative,16,80
115,3mp,8,3,Random,121.6666667,865.6,3.288615513,6.621003383,743.9333333,1,Hypoxia,0.140557609,5,5,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,0.564,0.079,0.153,0.02,0.133,Random,18,5
116,3mp,8,3,Random,120.9666667,865.6,2.687508512,7.821798181,744.6333333,1,Recovery,0.139748922,3,3,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,NA,NA,NA,NA,NA,Random,18,3
117,4mg,5,2,Random,120.9666667,865.6,3.482065639,7.408952078,744.6333333,3,Recovery,0.139748922,57,5,1,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,NA,NA,NA,NA,NA,Random,17,5
118,4mp,8,3,Random,120.1,865.6,3.288802586,6.752398715,745.5,1,Normoxia,0.138747689,5,5,1,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,1.227,0.714,0.307,0.15,0.157,Random,16,5
119,5fb,1,1,Small,119.7,865.6,3.359537297,7.133768304,745.9,1,Hypoxia,0.138285582,6,6,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,0.611,0.202,0.183,0.061,0.122,Positive,20,6
120,9mg,4,2,Large,119.7,865.6,3.570133542,6.250474184,745.9,2,Hypoxia,0.138285582,5,38,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,0.998,0.415,0.26,0.094,0.166,Negative,17,5
121,4fl,8,3,Random,119.6666667,865.6,3.531608232,6.434204308,745.9333333,3,Hypoxia,0.138247073,24,24,1,1,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,0.493,0.188,0.152,0.06,0.092,Random,25,24
122,11fb,2,1,Random,119.4666667,865.6,2.945039816,7.210805915,746.1333333,1,Recovery,0.13801602,10,10,1,1,11,Normoxia acclimated,F,0.21,0.19,20,21.5,-0.17,0.17,0.12,NA,NA,NA,NA,NA,Random,20,10
123,1fg,2,1,Random,119.4333333,865.6,2.904442834,6.96878588,746.1666667,2,Hypoxia,0.137977511,NA,NA,NA,NA,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,0.628,0.172,0.194,0.056,0.138,Random,20,NA
124,9fl,7,3,Large,119.2,865.6,3.252827193,6.677601066,746.4,3,Normoxia,0.137707948,30,15,1,1,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,1.015,0.248,0.315,0.081,0.234,Negative,28,15
125,6mg,6,2,Small,119.1333333,865.6,3.439342078,8.287234123,746.4666667,3,Normoxia,0.13763093,6,5,1,1,6,Normoxia acclimated,M,0.1,0.11,16,17,0.16,0.06,0.1,1.164,0.358,0.275,0.067,0.208,Positive,17,5
126,10fb,3,1,Large,118.8,865.6,3.506913026,7.107996498,746.8,2,Hypoxia,0.137245841,NA,NA,0,0,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,0.463,0.213,0.149,0.075,0.074,Negative,22,NA
127,9fg,4,2,Large,118.5333333,865.6,2.834677715,7.370300088,747.0666667,1,Normoxia,0.13693777,NA,NA,NA,NA,9,Normoxia acclimated,F,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Negative,NA,NA
128,2ml,6,2,Small,118.3666667,865.6,3.651962114,7.141734977,747.2333333,2,Recovery,0.136745225,17,17,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,NA,NA,NA,NA,NA,Positive,16,17
129,5mg,6,2,Small,118,865.6,3.332967646,7.223581937,747.6,2,Normoxia,0.136321627,38,38,1,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,0.806,0.532,0.202,0.111,0.091,Positive,15,38
130,11mp,8,3,Random,117.7,865.6,3.508489153,6.581243413,747.9,2,Normoxia,0.135975046,NA,6,0,1,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,1.531,0.495,0.399,0.113,0.286,Random,17,6
131,6mb,1,1,Small,117.4666667,865.6,3.57162262,7.810287883,748.1333333,1,Hypoxia,0.135705484,NA,NA,NA,NA,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,0.968,0.155,0.238,0.031,0.207,Positive,14,NA
132,4fl,8,3,Random,116.8333333,865.6,3.199884909,6.735067109,748.7666667,2,Normoxia,0.134973814,NA,32,0,1,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,0.972,0.3,0.299,0.096,0.203,Random,20,32
133,6mb,1,1,Small,116.3,865.6,3.959461694,12.13895034,749.3,1,Recovery,0.134357671,NA,NA,NA,NA,6,Normoxia acclimated,M,0.07,0.09,14.5,16,0.43,0.08,0.17,NA,NA,NA,NA,NA,Positive,14,NA
134,2mb,1,1,Small,115.3333333,865.6,2.406899296,7.619683966,750.2666667,2,Recovery,0.133240912,6,6,1,1,2,Normoxia acclimated,M,0.05,0.07,15.5,16,0.58,0.09,0.05,NA,NA,NA,NA,NA,Positive,16,6
135,1fb,2,1,Random,115.1,865.6,2.985511662,7.842130721,750.5,1,Recovery,0.132971349,NA,34,0,1,1,Hypoxia acclimated,F,0.16,0.3,19,22,1.08,0.28,0.25,NA,NA,NA,NA,NA,Random,19,34
136,12mb,1,1,Small,114.9333333,865.6,2.503204227,8.606821619,750.6666667,2,Recovery,0.132778805,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
137,6mp,9,3,Small,114.8666667,865.6,3.117111259,7.577274629,750.7333333,1,Recovery,0.132701787,6,5,1,1,6,Normoxia acclimated,M,0.09,0.09,15.5,16,0,0.09,0.05,NA,NA,NA,NA,NA,Positive,16,5
138,7fg,4,2,Large,113.7333333,865.6333333,2.480509561,8.555586507,751.9,2,Normoxia,0.131387423,NA,NA,NA,NA,7,Normoxia acclimated,F,0.22,1.11,22.5,32,2.79,0.81,0.61,0.66,0.163,0.225,0.065,0.16,Negative,22,NA
139,5fp,9,3,Small,113.3666667,865.6,2.855368485,7.493569042,752.2333333,2,Normoxia,0.130968885,22,22,1,1,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,0.8,0.15,0.248,0.049,0.199,Positive,21,6
140,5fp,9,3,Small,113.1666667,865.6,3.172026167,7.954235411,752.4333333,2,Recovery,0.130737831,99,31,1,1,5,Hypoxia acclimated,F,0.19,0.42,21,25.5,1.37,0.42,0.33,NA,NA,NA,NA,NA,Positive,21,4
141,5ml,6,2,Small,112.7,865.6,3.436724264,6.945010389,752.9,3,Normoxia,0.130198706,4,4,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,1.851,0.486,0.482,0.111,0.371,Positive,18,4
142,5ml,6,2,Small,112.4333333,865.6,3.589014564,7.100278399,753.1666667,3,Hypoxia,0.129890635,7,5,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,1.057,0.169,0.275,0.038,0.237,Positive,18,5
143,3fb,2,1,Random,112.2666667,865.6,7.710937598,17.36581315,753.3333333,1,Recovery,0.12969809,30,19,1,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,NA,NA,NA,NA,NA,Random,22,19
144,5fb,1,1,Small,111.9,865.6,3.419187141,7.536220511,753.7,1,Normoxia,0.129274492,6,6,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,0.912,0.314,0.273,0.095,0.178,Positive,20,6
145,8fl,4,2,Large,111.8333333,865.6,2.876429992,8.738954323,753.7666667,2,Normoxia,0.129197474,NA,NA,0,0,8,Hypoxia acclimated,F,0.2,0.79,20.5,31,2.37,0.74,0.71,0.807,0.268,0.271,0.103,0.168,Negative,20,NA
146,10fb,3,1,Large,111.6333333,865.6,3.342995775,6.461608838,753.9666667,2,Normoxia,0.12896642,20,20,1,1,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,0.969,0.158,0.312,0.056,0.256,Negative,22,6
147,1fg,2,1,Random,110.6666667,865.6,2.614908523,7.130432623,754.9333333,3,Recovery,0.127849661,NA,NA,NA,NA,1,Hypoxia acclimated,F,0.23,0.45,20.5,25.5,1.16,0.41,0.38,NA,NA,NA,NA,NA,Random,26,NA
148,7fg,4,2,Large,110.6333333,865.6,2.770647969,7.505741949,754.9666667,2,Recovery,0.127811152,NA,NA,NA,NA,7,Normoxia acclimated,F,0.22,1.11,22.5,32,2.79,0.81,0.61,NA,NA,NA,NA,NA,Negative,22,NA
149,5mg,6,2,Small,109.0666667,865.6,3.304224825,6.803564915,756.5333333,2,Recovery,0.126001232,6,18,1,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,NA,NA,NA,NA,NA,Positive,15,5
150,1mp,8,3,Random,108.2333333,865.6,3.07037804,7.588278639,757.3666667,1,Hypoxia,0.125038509,28,28,1,1,1,Hypoxia acclimated,M,0.13,0.16,19.5,19.5,0.36,0.16,0,1.319,0.288,0.358,0.071,0.287,Random,20,5
151,6fp,9,3,Small,107.3666667,865.6,3.166260274,6.576912613,758.2333333,1,Normoxia,0.124037277,4,4,1,1,6,Normoxia acclimated,F,0.12,0.33,17,23.5,1.74,0.28,0.56,0.661,0.329,0.194,0.096,0.098,Positive,17,4
152,3fb,2,1,Random,107.3,865.6,3.043758187,6.841012799,758.3,3,Hypoxia,0.123960259,83,32,1,1,3,Hypoxia acclimated,F,0.22,0.58,21.5,26.5,1.67,0.45,0.36,0.641,0.286,0.201,0.096,0.105,Random,26,32
153,12fp,9,3,Small,107.2333333,865.6,2.631841477,8.525617818,758.3666667,1,Normoxia,0.123883241,5,5,1,1,12,Hypoxia acclimated,F,0.17,0.43,19.5,25,1.6,0.37,0.43,0.81,0.196,0.247,0.062,0.185,Positive,20,5
154,5mp,9,3,Small,106.9333333,865.6,2.018347921,10.88557518,758.6666667,1,Normoxia,0.12353666,NA,NA,NA,NA,5,Hypoxia acclimated,M,0.11,0.12,17.5,18,0.15,0.12,0.05,0.91,0.649,0.237,0.148,0.089,Positive,18,NA
155,4fl,8,3,Random,106.2666667,865.6,3.250570311,6.556500765,759.3333333,3,Recovery,0.122766482,NA,7,0,1,4,Normoxia acclimated,F,0.19,0.35,20,25,1.05,0.39,0.38,NA,NA,NA,NA,NA,Random,25,7
156,2fl,9,3,Small,103.8333333,865.6,2.758909124,7.26172864,761.7666667,3,Normoxia,0.11995533,NA,7,0,1,2,Normoxia acclimated,F,0.29,0.54,23.5,27.5,1.07,0.51,0.27,0.899,0.208,0.287,0.072,0.215,Positive,28,7
157,2fb,1,1,Small,103.1666667,865.6,3.325388947,6.345812707,762.4333333,3,Hypoxia,0.119185151,6,6,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,0.642,0.167,0.201,0.055,0.146,Positive,30,6
158,11mp,8,3,Random,102.7666667,865.6,3.622921231,6.879652336,762.8333333,2,Recovery,0.118723044,NA,5,0,1,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,NA,NA,NA,NA,NA,Random,17,5
159,10fb,3,1,Large,102.6333333,865.6,4.913289614,10.2277402,762.9666667,1,Hypoxia,0.118569008,NA,NA,0,0,10,Hypoxia acclimated,F,0.23,0.69,22,30.5,1.89,0.54,0.56,0.463,0.213,0.149,0.075,0.074,Negative,22,NA
160,12mp,9,3,Small,102.5,865.6,2.914130983,7.613986414,763.1,1,Normoxia,0.118414972,120,120,1,1,12,Hypoxia acclimated,M,0.08,0.09,16,16.5,0.2,0.09,0.05,0.857,0.254,0.214,0.053,0.161,Positive,16,35
161,4mp,8,3,Random,102,865.6,2.526614478,7.147800902,763.6,1,Hypoxia,0.117837338,108,108,1,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,1.081,0.075,0.271,0.016,0.255,Random,16,35
162,10mp,7,3,Large,101.7,865.6,3.217175432,7.129407582,763.9,2,Normoxia,0.117490758,NA,NA,NA,NA,10,Hypoxia acclimated,M,0.16,0.17,20,19.5,0.1,0.17,-0.04,0.659,0.188,0.18,0.047,0.133,Negative,20,NA
163,9fb,3,1,Large,101.3666667,865.6,2.732342163,7.248488953,764.2333333,1,Normoxia,0.117105669,6,123,1,1,9,Normoxia acclimated,F,0.17,0.44,20.5,26,1.64,0.34,0.41,0.61,0.299,0.184,0.092,0.092,Negative,20,6
164,8fg,4,2,Large,101.1333333,865.6,2.857575713,10.08935474,764.4666667,2,Recovery,0.116836106,82,6,1,1,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,NA,NA,NA,NA,NA,Negative,21,6
165,4mg,5,2,Random,101.0333333,865.6,3.262865748,7.136164128,764.5666667,3,Hypoxia,0.116720579,6,41,1,1,4,Normoxia acclimated,M,0.1,0.12,16.5,17,0.31,0.11,0.05,0.682,0.06,0.176,0.013,0.163,Random,17,6
166,3mg,5,2,Random,101,865.6,2.619527571,14.70680615,764.6,1,Recovery,0.11668207,15,15,1,1,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,NA,NA,NA,NA,NA,Random,18,15
167,5ml,6,2,Small,100.7666667,865.6,3.269310577,8.564591642,764.8333333,2,Recovery,0.116412508,6,5,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,NA,NA,NA,NA,NA,Positive,16,5
168,12mg,6,2,Small,100.6666667,865.6,3.247632687,6.545555825,764.9333333,1,Normoxia,0.116296981,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
169,6ml,6,2,Small,100.6333333,865.6,3.032464826,6.436461302,764.9666667,1,Normoxia,0.116258472,NA,NA,NA,NA,6,Normoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
170,1fl,5,2,Random,99.7,865.6,3.212423397,9.173906125,765.9,1,Hypoxia,0.115180222,NA,NA,0,0,1,Hypoxia acclimated,F,0.24,0.57,22.5,28.5,1.49,0.52,0.41,0.641,0.087,0.205,0.03,0.175,Random,22,NA
171,8fl,4,2,Large,99.66666667,865.6,2.398816081,14.28952468,765.9333333,1,Recovery,0.115141713,6,6,1,1,8,Hypoxia acclimated,F,0.2,0.79,20.5,31,2.37,0.74,0.71,NA,NA,NA,NA,NA,Negative,20,6
172,4mp,8,3,Random,99.6,865.6,3.286360921,6.84513637,766,3,Hypoxia,0.115064695,35,108,1,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,1.081,0.075,0.271,0.016,0.255,Random,16,35
173,5fb,1,1,Small,99.56666667,865.6,3.429222078,7.041313983,766.0333333,2,Recovery,0.115026186,5,5,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,NA,NA,NA,NA,NA,Positive,20,5
174,2mg,1,1,Small,99.53333333,865.6,3.191839069,7.062587268,766.0666667,1,Normoxia,0.114987677,3,3,1,1,2,Normoxia acclimated,M,0.06,0.07,15.5,15.5,0.27,0.07,0,1.384,0.292,0.334,0.057,0.277,Positive,16,3
175,5ml,6,2,Small,99.2,865.6,2.753269694,8.589985324,766.4,2,Normoxia,0.114602588,9,4,1,1,5,Hypoxia acclimated,M,0.1,0.12,16.5,18,0.31,0.12,0.15,1.851,0.486,0.482,0.111,0.371,Positive,16,4
176,7mg,3,1,Large,99.13333333,865.6,2.711523597,8.536160474,766.4666667,2,Normoxia,0.11452557,128,128,1,1,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,0.957,0.747,0.255,0.178,0.077,Negative,18,18
177,4ml,5,2,Random,99.03333333,865.6,2.74842841,7.028711373,766.5666667,1,Hypoxia,0.114410043,4,4,1,1,4,Normoxia acclimated,M,0.11,0.13,17,18,0.29,0.12,0.1,0.738,0.26,0.192,0.059,0.133,Random,17,4
178,8ml,7,3,Large,98.63333333,865.6,3.535746663,9.280570034,766.9666667,2,Hypoxia,0.113947936,NA,NA,NA,NA,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,0.809,0.104,0.217,0.025,0.192,Negative,18,NA
179,6ml,6,2,Small,98.3,865.6,2.398984053,8.05922081,767.3,2,Recovery,0.113562847,NA,NA,NA,NA,6,Normoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
180,4mb,8,1,Random,97.73333333,865.6,3.248089993,6.848094746,767.8666667,1,Recovery,0.112908195,34,34,1,1,4,Normoxia acclimated,M,0.09,0.01,16,17,-3.79,0.1,0.1,NA,NA,NA,NA,NA,Random,16,5
181,12mg,6,2,Small,97.46666667,865.6,3.005677989,7.309923282,768.1333333,1,Recovery,0.112600123,NA,NA,NA,NA,12,Hypoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
182,2fb,1,1,Small,97.36666667,865.6,3.086461924,6.546431562,768.2333333,3,Normoxia,0.112484596,6,5,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,1.306,0.253,0.408,0.084,0.324,Positive,30,5
183,8ml,7,3,Large,97.33333333,865.6,3.304193438,6.562908457,768.2666667,2,Recovery,0.112446087,NA,NA,NA,NA,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,NA,NA,NA,NA,NA,Negative,18,NA
184,7mg,3,1,Large,97.2,865.6,3.108219837,7.27795453,768.4,2,Hypoxia,0.112292052,9,5,1,1,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,1.009,0.336,0.269,0.08,0.189,Negative,18,5
185,11fl,8,3,Random,96.73333333,865.6,2.086846052,7.349773568,768.8666667,1,Recovery,0.111752927,NA,NA,NA,NA,11,Normoxia acclimated,F,0.18,0.58,20.5,18.5,2.02,0.58,-0.18,NA,NA,NA,NA,NA,Random,20,NA
186,1fp,8,3,Random,95.46666667,865.6,2.637477615,7.398505097,770.1333333,3,Normoxia,0.110289587,8,5,1,1,1,Hypoxia acclimated,F,0.19,0.2,20.5,21.5,0.09,0.19,0.08,1.255,0.351,0.349,0.091,0.258,Random,22,5
187,12fl,6,2,Small,95.4,865.6,2.384038353,8.441701988,770.2,2,Recovery,0.110212569,NA,31,0,1,12,Hypoxia acclimated,F,0.16,0.38,19,24,1.49,0.32,0.4,NA,NA,NA,NA,NA,Positive,19,31
188,12ml,9,3,Small,95.4,865.6,3.094181664,6.464754978,770.2,1,Normoxia,0.110212569,110,110,1,1,12,Hypoxia acclimated,M,0.12,0.14,18,18.5,0.27,0.13,0.05,1.118,0.309,0.295,0.072,0.223,Positive,18,5
189,6ml,6,2,Small,95.06666667,865.6,2.386112995,7.40868823,770.5333333,2,Hypoxia,0.10982748,NA,NA,NA,NA,6,Normoxia acclimated,M,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Positive,NA,NA
190,11mp,8,3,Random,95.03333333,865.6,3.163021799,7.524015977,770.5666667,1,Recovery,0.109788971,5,5,1,1,11,Normoxia acclimated,M,0.11,0.12,17,17.5,0.15,0.12,0.05,NA,NA,NA,NA,NA,Random,17,5
191,9fl,7,3,Large,94.83333333,865.6,2.862445094,6.385732835,770.7666667,2,Hypoxia,0.109557917,44,44,1,1,9,Normoxia acclimated,F,0.2,0.59,21,28,1.87,0.42,0.5,0.528,0.142,0.164,0.046,0.118,Negative,21,44
192,3fp,8,3,Random,94.36666667,865.6,2.556847556,6.987165656,771.2333333,1,Recovery,0.109018792,6,6,1,1,3,Hypoxia acclimated,F,0.18,0.25,20.5,23,0.57,0.29,0.2,NA,NA,NA,NA,NA,Random,20,6
193,7mg,3,1,Large,94.2,865.6,2.642012488,8.912267425,771.4,2,Recovery,0.108826248,6,51,1,1,7,Normoxia acclimated,M,0.14,0.15,18,19.5,0.12,0.14,0.14,NA,NA,NA,NA,NA,Negative,18,6
194,8ml,7,3,Large,94,865.6,3.16872009,6.654814205,771.6,1,Recovery,0.108595194,NA,NA,NA,NA,8,Hypoxia acclimated,M,0.13,0.15,18,19,0.25,0.15,0.09,NA,NA,NA,NA,NA,Negative,18,NA
195,4mp,8,3,Random,93.7,865.6,3.297999497,6.602783817,771.9,2,Normoxia,0.108248614,6,5,1,1,4,Normoxia acclimated,M,0.09,0.09,16,16,0,0.09,0,1.227,0.714,0.307,0.15,0.157,Random,16,5
196,10fp,7,3,Large,93.56666667,865.6,3.21262886,6.704623096,772.0333333,1,Hypoxia,0.108094578,74,55,1,1,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,0.457,0.145,0.142,0.048,0.094,Negative,22,55
197,3mg,5,2,Random,93.43333333,865.6,2.614105487,8.324454542,772.1666667,3,Recovery,0.107940542,25,15,1,1,3,Hypoxia acclimated,M,0.11,0.12,18,18,0.15,0.12,0,NA,NA,NA,NA,NA,Random,18,15
198,2fg,6,2,Small,92.9,865.6,3.299882125,6.441771398,772.7,3,Hypoxia,0.107324399,24,24,1,1,2,Normoxia acclimated,F,0.12,0.34,18.5,23,1.8,0.25,0.38,0.379,0.195,0.109,0.055,0.054,Positive,23,24
199,5fb,1,1,Small,92.46666667,865.6,2.878618973,7.395343207,773.1333333,3,Normoxia,0.106823783,6,6,1,1,5,Hypoxia acclimated,F,0.18,0.23,20,22.5,0.42,0.32,0.2,0.912,0.314,0.273,0.095,0.178,Positive,22,6
200,8fg,4,2,Large,92.36666667,865.6,2.515681724,9.507393306,773.2333333,1,Recovery,0.106708256,6,6,1,1,8,Hypoxia acclimated,F,0.19,0.7,21,29.5,2.25,0.83,0.59,NA,NA,NA,NA,NA,Negative,21,6
201,4mb,8,1,Random,92.06666667,865.6,2.603516486,6.974928534,773.5333333,1,Normoxia,0.106361676,6,6,1,1,4,Normoxia acclimated,M,0.09,0.01,16,17,-3.79,0.1,0.1,1.09,0.608,0.277,0.131,0.146,Random,16,6
202,3mp,8,3,Random,91.93333333,865.6,2.91946178,7.027377469,773.6666667,2,Hypoxia,0.10620764,5,5,1,1,3,Hypoxia acclimated,M,0.15,0.16,18.5,19,0.11,0.16,0.05,0.564,0.079,0.153,0.02,0.133,Random,18,5
203,8mg,4,2,Large,91.6,865.6,3.026139928,6.908098329,774,2,Hypoxia,0.105822551,5,5,1,1,8,Hypoxia acclimated,M,0.11,0.13,16,18,0.29,0.12,0.2,0.764,0.274,0.199,0.062,0.137,Negative,16,5
204,2fb,1,1,Small,91.4,865.6,3.27767917,7.235330987,774.2,2,Recovery,0.105591497,6,6,1,1,2,Normoxia acclimated,F,0.17,0.72,19,30,2.49,0.44,0.79,NA,NA,NA,NA,NA,Positive,19,6
205,2fp,9,3,Small,90.4,865.6,2.902159453,6.393415899,775.2,1,Normoxia,0.104436229,NA,NA,NA,NA,2,Normoxia acclimated,F,0.3,0.58,23.5,28.5,1.14,0.43,0.33,0.92,0.215,0.287,0.071,0.216,Positive,24,NA
206,9mg,4,2,Large,90.26666667,865.6,3.093900946,7.007625259,775.3333333,3,Normoxia,0.104282193,7,6,1,1,9,Normoxia acclimated,M,0.1,0.13,17,18,0.45,0.12,0.1,1.013,0.524,0.264,0.119,0.145,Negative,18,6
207,10fg,3,1,Large,90.1,865.6,2.731626176,7.153962044,775.5,1,Recovery,0.104089649,41,41,1,1,10,Hypoxia acclimated,F,0.16,0.54,20,27,2.1,0.38,0.52,NA,NA,NA,NA,NA,Negative,20,6
208,5mg,6,2,Small,89.7,865.6,2.817127835,6.538580109,775.9,3,Normoxia,0.103627542,NA,38,0,1,5,Hypoxia acclimated,M,0.08,0.09,15,15.5,0.2,0.09,0.06,0.806,0.532,0.202,0.111,0.091,Positive,16,38
209,10fp,7,3,Large,89.5,865.6,3.359723214,6.220347542,776.1,3,Hypoxia,0.103396488,55,55,1,1,10,Hypoxia acclimated,F,0.23,0.6,21.5,27.5,1.65,0.43,0.42,0.457,0.145,0.142,0.048,0.094,Negative,28,55
210,4fb,2,1,Random,89.1,865.6,2.937423006,7.555141939,776.5,2,Normoxia,0.102934381,NA,NA,NA,NA,4,Normoxia acclimated,F,0.16,0.52,20,26.5,2.03,0.3,0.49,0.767,0.302,0.227,0.09,0.137,Random,20,NA
211,2ml,6,2,Small,88.66666667,865.6,3.245395672,7.367965074,776.9333333,3,Hypoxia,0.102433765,11,101,1,1,2,Normoxia acclimated,M,0.09,0.1,15.5,17.5,0.18,0.14,0.21,0.305,0.001,0.081,0,0.081,Positive,18,11
212,10mb,3,1,Large,88.43333333,865.6,3.089637845,6.727893612,777.1666667,2,Hypoxia,0.102164202,NA,4,0,1,10,Hypoxia acclimated,M,0.13,0.14,17.5,18.5,0.13,0.14,0.1,0.595,0.021,0.158,0.005,0.153,Negative,18,4
213,12fl,6,2,Small,88.1,865.6,1.782628069,8.670007341,777.5,2,Normoxia,0.101779113,27,27,1,1,12,Hypoxia acclimated,F,0.16,0.38,19,24,1.49,0.32,0.4,1.014,0.238,0.303,0.072,0.231,Positive,19,27
